Trial ID,Score,Hyperparameters
0059,0.7368420958518982,"{'num_conv_blocks': 3, 'activation': 'relu', 'use_batch_norm': True, 'num_dense_layers': 2, 'units_per_dense': 192, 'dropout_rate': 0.4, 'learning_rate': 0.00013515514857868552, 'optimizer': 'adam', 'conv_filters_0': 64, 'conv_filters_1': 128, 'conv_filters_2': 128, 'tuner/epochs': 10, 'tuner/initial_epoch': 0, 'tuner/bracket': 1, 'tuner/round': 0}"
0035,0.7368420958518982,"{'num_conv_blocks': 3, 'activation': 'elu', 'use_batch_norm': False, 'num_dense_layers': 2, 'units_per_dense': 384, 'dropout_rate': 0.30000000000000004, 'learning_rate': 0.0009686835179818646, 'optimizer': 'adam', 'conv_filters_0': 32, 'conv_filters_1': 64, 'conv_filters_2': 32, 'tuner/epochs': 4, 'tuner/initial_epoch': 2, 'tuner/bracket': 3, 'tuner/round': 1, 'tuner/trial_id': '0020'}"
0036,0.7368420958518982,"{'num_conv_blocks': 3, 'activation': 'elu', 'use_batch_norm': False, 'num_dense_layers': 3, 'units_per_dense': 320, 'dropout_rate': 0.6000000000000001, 'learning_rate': 0.00015651995376699836, 'optimizer': 'rmsprop', 'conv_filters_0': 32, 'conv_filters_1': 64, 'conv_filters_2': 32, 'tuner/epochs': 4, 'tuner/initial_epoch': 2, 'tuner/bracket': 3, 'tuner/round': 1, 'tuner/trial_id': '0025'}"
0102,0.7293233275413513,"{'num_conv_blocks': 3, 'activation': 'elu', 'use_batch_norm': False, 'num_dense_layers': 3, 'units_per_dense': 384, 'dropout_rate': 0.4, 'learning_rate': 0.0003134741669875753, 'optimizer': 'adam', 'conv_filters_0': 64, 'conv_filters_1': 128, 'conv_filters_2': 32, 'tuner/epochs': 4, 'tuner/initial_epoch': 2, 'tuner/bracket': 3, 'tuner/round': 1, 'tuner/trial_id': '0089'}"
0054,0.7218044996261597,"{'num_conv_blocks': 3, 'activation': 'elu', 'use_batch_norm': False, 'num_dense_layers': 2, 'units_per_dense': 512, 'dropout_rate': 0.4, 'learning_rate': 0.0047644674312897215, 'optimizer': 'sgd', 'conv_filters_0': 32, 'conv_filters_1': 128, 'conv_filters_2': 32, 'tuner/epochs': 10, 'tuner/initial_epoch': 4, 'tuner/bracket': 2, 'tuner/round': 1, 'tuner/trial_id': '0045'}"
0045,0.7142857313156128,"{'num_conv_blocks': 3, 'activation': 'elu', 'use_batch_norm': False, 'num_dense_layers': 2, 'units_per_dense': 512, 'dropout_rate': 0.4, 'learning_rate': 0.0047644674312897215, 'optimizer': 'sgd', 'conv_filters_0': 32, 'conv_filters_1': 128, 'conv_filters_2': 32, 'tuner/epochs': 4, 'tuner/initial_epoch': 0, 'tuner/bracket': 2, 'tuner/round': 0}"
0042,0.6992481350898743,"{'num_conv_blocks': 3, 'activation': 'relu', 'use_batch_norm': False, 'num_dense_layers': 3, 'units_per_dense': 256, 'dropout_rate': 0.6000000000000001, 'learning_rate': 0.00014723659770098695, 'optimizer': 'rmsprop', 'conv_filters_0': 32, 'conv_filters_1': 128, 'conv_filters_2': 64, 'tuner/epochs': 4, 'tuner/initial_epoch': 0, 'tuner/bracket': 2, 'tuner/round': 0}"
0034,0.6992481350898743,"{'num_conv_blocks': 2, 'activation': 'elu', 'use_batch_norm': False, 'num_dense_layers': 4, 'units_per_dense': 384, 'dropout_rate': 0.30000000000000004, 'learning_rate': 0.009519415634911517, 'optimizer': 'sgd', 'conv_filters_0': 128, 'conv_filters_1': 64, 'conv_filters_2': 32, 'tuner/epochs': 4, 'tuner/initial_epoch': 2, 'tuner/bracket': 3, 'tuner/round': 1, 'tuner/trial_id': '0029'}"
0110,0.6917293071746826,"{'num_conv_blocks': 2, 'activation': 'elu', 'use_batch_norm': False, 'num_dense_layers': 3, 'units_per_dense': 320, 'dropout_rate': 0.6000000000000001, 'learning_rate': 0.00220089569175077, 'optimizer': 'sgd', 'conv_filters_0': 128, 'conv_filters_1': 32, 'conv_filters_2': 32, 'tuner/epochs': 4, 'tuner/initial_epoch': 0, 'tuner/bracket': 2, 'tuner/round': 0}"
0044,0.6766917109489441,"{'num_conv_blocks': 3, 'activation': 'elu', 'use_batch_norm': False, 'num_dense_layers': 3, 'units_per_dense': 128, 'dropout_rate': 0.4, 'learning_rate': 0.00027737916414514253, 'optimizer': 'adam', 'conv_filters_0': 32, 'conv_filters_1': 128, 'conv_filters_2': 64, 'tuner/epochs': 4, 'tuner/initial_epoch': 0, 'tuner/bracket': 2, 'tuner/round': 0}"
0067,0.6691729426383972,"{'num_conv_blocks': 2, 'activation': 'relu', 'use_batch_norm': False, 'num_dense_layers': 2, 'units_per_dense': 448, 'dropout_rate': 0.6000000000000001, 'learning_rate': 0.0005152886366624843, 'optimizer': 'adam', 'conv_filters_0': 64, 'conv_filters_1': 32, 'conv_filters_2': 128, 'tuner/epochs': 30, 'tuner/initial_epoch': 0, 'tuner/bracket': 0, 'tuner/round': 0}"
0029,0.6541353464126587,"{'num_conv_blocks': 2, 'activation': 'elu', 'use_batch_norm': False, 'num_dense_layers': 4, 'units_per_dense': 384, 'dropout_rate': 0.30000000000000004, 'learning_rate': 0.009519415634911517, 'optimizer': 'sgd', 'conv_filters_0': 128, 'conv_filters_1': 64, 'conv_filters_2': 32, 'tuner/epochs': 2, 'tuner/initial_epoch': 0, 'tuner/bracket': 3, 'tuner/round': 0}"
0020,0.6390977501869202,"{'num_conv_blocks': 3, 'activation': 'elu', 'use_batch_norm': False, 'num_dense_layers': 2, 'units_per_dense': 384, 'dropout_rate': 0.30000000000000004, 'learning_rate': 0.0009686835179818646, 'optimizer': 'adam', 'conv_filters_0': 32, 'conv_filters_1': 64, 'conv_filters_2': 32, 'tuner/epochs': 2, 'tuner/initial_epoch': 0, 'tuner/bracket': 3, 'tuner/round': 0}"
