Trial ID,Score,Hyperparameters
0006,1.0,"{'activation': 'relu', 'use_batch_norm': False, 'num_dense_layers': 2, 'units_per_dense': 192, 'dropout_rate': 0.25, 'learning_rate': 0.004299211781488068, 'optimizer': 'adam', 'tuner/epochs': 2, 'tuner/initial_epoch': 0, 'tuner/bracket': 3, 'tuner/round': 0}"
0018,1.0,"{'activation': 'elu', 'use_batch_norm': False, 'num_dense_layers': 2, 'units_per_dense': 288, 'dropout_rate': 0.2, 'learning_rate': 0.0003047566454213899, 'optimizer': 'rmsprop', 'tuner/epochs': 2, 'tuner/initial_epoch': 0, 'tuner/bracket': 3, 'tuner/round': 0}"
0021,1.0,"{'activation': 'elu', 'use_batch_norm': True, 'num_dense_layers': 4, 'units_per_dense': 448, 'dropout_rate': 0.0, 'learning_rate': 0.0027492898886607555, 'optimizer': 'adam', 'tuner/epochs': 2, 'tuner/initial_epoch': 0, 'tuner/bracket': 3, 'tuner/round': 0}"
0022,1.0,"{'activation': 'relu', 'use_batch_norm': False, 'num_dense_layers': 1, 'units_per_dense': 288, 'dropout_rate': 0.25, 'learning_rate': 0.009458590727480821, 'optimizer': 'rmsprop', 'tuner/epochs': 2, 'tuner/initial_epoch': 0, 'tuner/bracket': 3, 'tuner/round': 0}"
0025,1.0,"{'activation': 'elu', 'use_batch_norm': True, 'num_dense_layers': 2, 'units_per_dense': 384, 'dropout_rate': 0.0, 'learning_rate': 0.00019071203207567507, 'optimizer': 'rmsprop', 'tuner/epochs': 2, 'tuner/initial_epoch': 0, 'tuner/bracket': 3, 'tuner/round': 0}"
0028,1.0,"{'activation': 'elu', 'use_batch_norm': True, 'num_dense_layers': 3, 'units_per_dense': 288, 'dropout_rate': 0.25, 'learning_rate': 0.00014875656923567032, 'optimizer': 'rmsprop', 'tuner/epochs': 2, 'tuner/initial_epoch': 0, 'tuner/bracket': 3, 'tuner/round': 0}"
0030,1.0,"{'activation': 'relu', 'use_batch_norm': False, 'num_dense_layers': 2, 'units_per_dense': 96, 'dropout_rate': 0.15000000000000002, 'learning_rate': 0.0008640493682592615, 'optimizer': 'rmsprop', 'tuner/epochs': 2, 'tuner/initial_epoch': 0, 'tuner/bracket': 3, 'tuner/round': 0}"
0034,1.0,"{'activation': 'relu', 'use_batch_norm': False, 'num_dense_layers': 2, 'units_per_dense': 192, 'dropout_rate': 0.25, 'learning_rate': 0.004299211781488068, 'optimizer': 'adam', 'tuner/epochs': 4, 'tuner/initial_epoch': 2, 'tuner/bracket': 3, 'tuner/round': 1, 'tuner/trial_id': '0006'}"
0035,1.0,"{'activation': 'elu', 'use_batch_norm': False, 'num_dense_layers': 2, 'units_per_dense': 288, 'dropout_rate': 0.2, 'learning_rate': 0.0003047566454213899, 'optimizer': 'rmsprop', 'tuner/epochs': 4, 'tuner/initial_epoch': 2, 'tuner/bracket': 3, 'tuner/round': 1, 'tuner/trial_id': '0018'}"
0037,1.0,"{'activation': 'relu', 'use_batch_norm': False, 'num_dense_layers': 1, 'units_per_dense': 288, 'dropout_rate': 0.25, 'learning_rate': 0.009458590727480821, 'optimizer': 'rmsprop', 'tuner/epochs': 4, 'tuner/initial_epoch': 2, 'tuner/bracket': 3, 'tuner/round': 1, 'tuner/trial_id': '0022'}"
0038,1.0,"{'activation': 'elu', 'use_batch_norm': True, 'num_dense_layers': 2, 'units_per_dense': 384, 'dropout_rate': 0.0, 'learning_rate': 0.00019071203207567507, 'optimizer': 'rmsprop', 'tuner/epochs': 4, 'tuner/initial_epoch': 2, 'tuner/bracket': 3, 'tuner/round': 1, 'tuner/trial_id': '0025'}"
0039,1.0,"{'activation': 'elu', 'use_batch_norm': True, 'num_dense_layers': 3, 'units_per_dense': 288, 'dropout_rate': 0.25, 'learning_rate': 0.00014875656923567032, 'optimizer': 'rmsprop', 'tuner/epochs': 4, 'tuner/initial_epoch': 2, 'tuner/bracket': 3, 'tuner/round': 1, 'tuner/trial_id': '0028'}"
0040,1.0,"{'activation': 'relu', 'use_batch_norm': False, 'num_dense_layers': 2, 'units_per_dense': 96, 'dropout_rate': 0.15000000000000002, 'learning_rate': 0.0008640493682592615, 'optimizer': 'rmsprop', 'tuner/epochs': 4, 'tuner/initial_epoch': 2, 'tuner/bracket': 3, 'tuner/round': 1, 'tuner/trial_id': '0030'}"
0041,1.0,"{'activation': 'elu', 'use_batch_norm': True, 'num_dense_layers': 3, 'units_per_dense': 416, 'dropout_rate': 0.25, 'learning_rate': 0.0004546471175241252, 'optimizer': 'adam', 'tuner/epochs': 4, 'tuner/initial_epoch': 2, 'tuner/bracket': 3, 'tuner/round': 1, 'tuner/trial_id': '0002'}"
0043,1.0,"{'activation': 'elu', 'use_batch_norm': True, 'num_dense_layers': 2, 'units_per_dense': 512, 'dropout_rate': 0.25, 'learning_rate': 0.0001840595675999059, 'optimizer': 'adam', 'tuner/epochs': 4, 'tuner/initial_epoch': 2, 'tuner/bracket': 3, 'tuner/round': 1, 'tuner/trial_id': '0008'}"
0044,1.0,"{'activation': 'elu', 'use_batch_norm': True, 'num_dense_layers': 2, 'units_per_dense': 128, 'dropout_rate': 0.05, 'learning_rate': 0.0003245957373760487, 'optimizer': 'adam', 'tuner/epochs': 4, 'tuner/initial_epoch': 2, 'tuner/bracket': 3, 'tuner/round': 1, 'tuner/trial_id': '0009'}"
